Title,URL
"Master of Nursing (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-nursing-thesis-turkish/
"Master of Interior Architecture and Environmental Design (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-interior-architecture-and-environmental-design-non-thesis-turkish/
"Master of Interior Architecture and Environmental Design (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-interior-architecture-and-environmental-design-thesis-turkish/
"PhD in Guidance and Psychological Counseling (Turkish)",https://search.studyinturkiye.com/sit-program/phd-in-guidance-and-psychological-counseling-turkish/
"PhD in Education Management (Turkish)",https://search.studyinturkiye.com/sit-program/phd-in-education-management-turkish/
"Bachelor of Gastronomy and Culinary Arts (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-gastronomy-and-culinary-arts-turkish/
"Bachelor of Tourism and Hotel Management (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-tourism-and-hotel-management-english/
"Bachelor of Nursing (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-nursing-turkish/
"Bachelor of Interior Architecture and Environmental Design (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-interior-architecture-and-environmental-design-turkish-2/
"Bachelor of Architecture (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-architecture-english/
"Bachelor of Civil Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-civil-engineering-english-2/
"Bachelor of Information Security Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-information-security-engineering-english/
"Bachelor of Computer Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-computer-engineering-english-3/
"Bachelor of Mechatronics Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-mechatronics-engineering-english/
"Bachelor of Electrical and Electronics Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-electrical-and-electronics-engineering-english-2/
"Bachelor of Banking and Finance (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-banking-and-finance-english/
"Bachelor of Civil Aviation Management (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-civil-aviation-management-english/
"Bachelor of Political Science and Public Administration (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-political-science-and-public-administration-english/
"Bachelor of International Relations (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-international-relations-english/
"Bachelor of English Language Teaching (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-english-language-teaching-english/
"Bachelor of Turkish Language Teaching (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-turkish-language-teaching-turkish/
"Associate of Tourist Guidance (English)",https://search.studyinturkiye.com/sit-program/associate-of-tourist-guidance-english/
"Associate of Civil Aviation Cabin Services (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-civil-aviation-cabin-services-turkish/
"Associate of Physiotherapy (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-physiotherapy-turkish/
"Associate of Culinary Arts (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-culinary-arts-turkish/
"Bachelor of Pharmacy (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-pharmacy-turkish/
"PhD in Dental Prosthesis Technology (Turkish)",https://search.studyinturkiye.com/sit-program/phd-in-dental-prosthesis-technology-turkish/
"Bachelor of Anthropology (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-anthropology-english/
"Bachelor of Industrial Design (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-industrial-design-english/
"PhD in Business Administration (Turkish)",https://search.studyinturkiye.com/sit-program/phd-in-business-administration-turkish/
"Master of Occupational Health and Safety (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-occupational-health-and-safety-non-thesis-turkish-2/
"Master of Global Politics and International Relations (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-global-politics-and-international-relations-non-thesis-turkish/
"Master of Clinical Psychology (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-clinical-psychology-thesis-turkish/
"Master of Physiotherapy and Rehabilitation (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-physiotherapy-and-rehabilitation-thesis-turkish/
"Master of Architecture (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-architecture-thesis-turkish-2/
"Master of Private Law (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-private-law-non-thesis-turkish/
"Master of Private Law (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-private-law-thesis-turkish/
"Master of Public Law (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-public-law-non-thesis-turkish/
"Master of Public Law (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-public-law-thesis-turkish-2/
"Master of Cyber Security (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-cyber-security-thesis-turkish/
"Master of Civil Engineering (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-civil-engineering-non-thesis-turkish/
"Master of Civil Engineering (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-civil-engineering-thesis-turkish/
"Master of Business Administration (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-business-administration-non-thesis-turkish/
"Master of Business Administration (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-business-administration-thesis-turkish/
"Master of Data Science (Non-Thesis) (English)",https://search.studyinturkiye.com/sit-program/master-of-data-science-non-thesis-english/
"Master of Cyber Security (Thesis) (English)",https://search.studyinturkiye.com/sit-program/master-of-cyber-security-thesis-english-2/
"Master of Civil Engineering (Thesis) (English)",https://search.studyinturkiye.com/sit-program/master-of-civil-engineering-thesis-english/
"Master of Electrical and Computer Engineering (Thesis) (English)",https://search.studyinturkiye.com/sit-program/master-of-electrical-and-computer-engineering-thesis-english/
"Master of Global Politics and International Relations (Thesis) (English)",https://search.studyinturkiye.com/sit-program/master-of-global-politics-and-international-relations-thesis-english/
"Master of Business Administration (Non-Thesis) (English)",https://search.studyinturkiye.com/sit-program/master-of-business-administration-non-thesis-english-2/
"Master of Business Administration (Thesis) (English)",https://search.studyinturkiye.com/sit-program/master-of-business-administration-thesis-english/
"Associate of Opticianry (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-opticianry-turkish/
"Associate of Dialysis (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-dialysis-turkish/
"Associate of Surgery Services (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-surgery-services-turkish/
"Associate of Anesthesia (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-anesthesia-turkish-2/
"Associate of Oral and Dental Health (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-oral-and-dental-health-turkish/
"Associate of Physiotherapy (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-physiotherapy-turkish-2/
"Associate of Medical Imaging Techniques (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-medical-imaging-techniques-turkish/
"Associate of Medical Laboratory Techniques (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-medical-laboratory-techniques-turkish/
"Associate of First Aid and Emergency (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-first-aid-and-emergency-turkish/
"Associate of Court Office Services (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-court-office-services-turkish-2/
"Associate of Construction Technology (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-construction-technology-turkish/
"Associate of Computer Programming (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-computer-programming-turkish-2/
"Associate of Cookery (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-cookery-turkish/
"Bachelor of Pilotage (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-pilotage-turkish/
"Bachelor of Nutrition and Dietetics (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-nutrition-and-dietetics-turkish-2/
"Bachelor of Midwifery (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-midwifery-turkish-2/
"Bachelor of Physiotherapy and Rehabilitation (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-physiotherapy-and-rehabilitation-turkish/
"Bachelor of Nursing (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-nursing-turkish-2/
"Bachelor of Law (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-law-english/
"Bachelor of Psychology (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-psychology-english/
